/Users/Danimelatru/.pyenv/versions/3.10.11/lib/python3.10/runpy.py:126: RuntimeWarning: 'src.training.train_dpo' found in sys.modules after import of package 'src.training', but prior to execution of 'src.training.train_dpo'; this may result in unpredictable behaviour
  warn(RuntimeWarning(msg))
2026-01-30 13:53:58,899 - __main__ - INFO - Loading configuration from configs/train_config.yaml
2026-01-30 13:53:58,899 - src.utils.config - INFO - Loading config from configs/train_config.yaml
2026-01-30 13:53:58,901 - src.utils.config - INFO - Configuration validation passed
2026-01-30 13:53:58,901 - __main__ - INFO - ============================================================
2026-01-30 13:53:58,901 - __main__ - INFO - DPO Training Configuration
2026-01-30 13:53:58,901 - __main__ - INFO - ============================================================
2026-01-30 13:53:58,901 - __main__ - INFO - Base Model: meta-llama/Meta-Llama-3-8B-Instruct
2026-01-30 13:53:58,901 - __main__ - INFO - Output Model: Llama3-8B-Agent-DPO-v1
2026-01-30 13:53:58,901 - __main__ - INFO - Data Path: data/processed/dpo_data.jsonl
2026-01-30 13:53:58,901 - __main__ - INFO - Output Directory: models/Llama3-8B-Agent-DPO-v1
2026-01-30 13:53:58,901 - __main__ - INFO - ============================================================
2026-01-30 13:53:58,901 - __main__ - INFO - Loading training dataset...
2026-01-30 13:53:58,901 - src.data.data_loader - INFO - Loading dataset from data/processed/dpo_data.jsonl
2026-01-30 13:53:59,283 - httpx - INFO - HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/json/json.py "HTTP/1.1 200 OK"
2026-01-30 13:53:59,387 - src.data.data_loader - INFO - Loaded 2500 examples
2026-01-30 13:53:59,387 - src.data.data_loader - INFO - Validating dataset...
2026-01-30 13:53:59,412 - src.data.data_loader - INFO - Dataset validation passed
2026-01-30 13:53:59,412 - __main__ - INFO - Initializing DPO trainer...
2026-01-30 13:53:59,412 - src.training.trainer - INFO - Loading tokenizer: meta-llama/Meta-Llama-3-8B-Instruct
2026-01-30 13:54:00,014 - httpx - INFO - HTTP Request: HEAD https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/main/config.json "HTTP/1.1 200 OK"
2026-01-30 13:54:00,199 - httpx - INFO - HTTP Request: GET https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/main/config.json "HTTP/1.1 200 OK"
2026-01-30 13:54:00,369 - httpx - INFO - HTTP Request: HEAD https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/main/tokenizer_config.json "HTTP/1.1 200 OK"
2026-01-30 13:54:00,538 - httpx - INFO - HTTP Request: GET https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/main/tokenizer_config.json "HTTP/1.1 200 OK"
2026-01-30 13:54:00,729 - httpx - INFO - HTTP Request: HEAD https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/main/tokenizer_config.json "HTTP/1.1 200 OK"
2026-01-30 13:54:00,880 - httpx - INFO - HTTP Request: GET https://huggingface.co/api/models/meta-llama/Meta-Llama-3-8B-Instruct/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-01-30 13:54:01,030 - httpx - INFO - HTTP Request: GET https://huggingface.co/api/models/meta-llama/Meta-Llama-3-8B-Instruct/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-01-30 13:54:01,246 - httpx - INFO - HTTP Request: HEAD https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/main/tokenizer.json "HTTP/1.1 200 OK"
2026-01-30 13:54:01,508 - httpx - INFO - HTTP Request: GET https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/main/tokenizer.json "HTTP/1.1 200 OK"
2026-01-30 13:54:05,642 - httpx - INFO - HTTP Request: HEAD https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/main/tokenizer.model "HTTP/1.1 404 Not Found"
2026-01-30 13:54:05,799 - httpx - INFO - HTTP Request: HEAD https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/main/added_tokens.json "HTTP/1.1 404 Not Found"
